Input: 1.1
13,	9,	11,	2,	0,		Pour
13,	9,	11,	2,	8,		Fill
13,	9,	12,	2,	7,		Pour
Path / States: 36/1367 (4349)

Input: 3.2
0,	0,	0,	0,	0,		None
0,	0,	0,	3,	0,		Fill
0,	10,	0,	3,	0,		Fill
0,	2,	0,	3,	8,		Pour
0,	2,	8,	3,	0,		Pour
0,	5,	8,	0,	0,		Pour
0,	5,	5,	3,	0,		Pour
0,	5,	5,	0,	3,		Pour
0,	5,	5,	3,	3,		Fill
3,	5,	5,	0,	3,		Pour
3,	5,	5,	3,	3,		Fill
3,	5,	5,	0,	6,		Pour
3,	5,	5,	3,	6,		Fill
1,	5,	5,	3,	8,		Pour
1,	5,	5,	3,	0,		Empty
1,	5,	5,	0,	3,		Pour
1,	5,	5,	3,	3,		Fill
1,	5,	5,	0,	6,		Pour
1,	5,	5,	3,	6,		Fill
1,	5,	5,	1,	8,		Pour
1,	5,	5,	1,	0,		Empty
1,	5,	5,	0,	1,		Pour
1,	5,	5,	3,	1,		Fill
1,	5,	5,	0,	4,		Pour
1,	5,	5,	3,	4,		Fill
Path / States: 24/370 (3755)

Input: 3.3
0,	0,	0,	0,	0,		None
0,	10,	0,	0,	0,		Fill
0,	10,	0,	3,	0,		Fill
0,	10,	3,	0,	0,		Pour
0,	10,	3,	3,	0,		Fill
0,	10,	6,	0,	0,		Pour
0,	10,	6,	3,	0,		Fill
0,	10,	6,	3,	8,		Fill
0,	10,	12,	3,	2,		Pour
0,	10,	0,	3,	2,		Empty
0,	10,	2,	3,	0,		Pour
0,	10,	5,	0,	0,		Pour
0,	7,	5,	3,	0,		Pour
0,	7,	5,	0,	0,		Empty
0,	4,	5,	3,	0,		Pour
0,	9,	0,	3,	0,		Pour
0,	9,	3,	0,	0,		Pour
0,	9,	3,	3,	0,		Fill
0,	9,	6,	0,	0,		Pour
0,	9,	6,	3,	0,		Fill
0,	9,	6,	3,	8,		Fill
0,	9,	12,	3,	2,		Pour
0,	9,	0,	3,	2,		Empty
0,	9,	2,	3,	0,		Pour
0,	9,	5,	0,	0,		Pour
0,	9,	5,	3,	0,		Fill
0,	9,	5,	3,	8,		Fill
0,	9,	12,	3,	1,		Pour
0,	9,	0,	3,	1,		Empty
0,	9,	3,	0,	1,		Pour
0,	9,	3,	3,	1,		Fill
0,	9,	6,	0,	1,		Pour
0,	9,	6,	3,	1,		Fill
Path / States: 32/300 (2290)

Input: 3.4
0,	0,	0,	0,	0,		None
0,	0,	12,	0,	0,		Fill
14,	0,	12,	0,	0,		Fill
11,	0,	12,	3,	0,		Pour
11,	0,	12,	0,	3,		Pour
11,	0,	12,	3,	3,		Fill
11,	0,	12,	0,	6,		Pour
14,	0,	12,	0,	6,		Fill
12,	0,	12,	0,	8,		Pour
12,	0,	12,	3,	5,		Pour
12,	0,	12,	0,	5,		Empty
12,	0,	12,	3,	2,		Pour
12,	0,	12,	0,	2,		Empty
Path / States: 12/39 (359)

Input: 3.5
0,	0,	0,	0,	0,		None
0,	0,	12,	0,	0,		Fill
12,	0,	0,	0,	0,		Pour
12,	0,	12,	0,	0,		Fill
9,	0,	12,	3,	0,		Pour
9,	3,	12,	0,	0,		Pour
14,	3,	7,	0,	0,		Pour
7,	10,	7,	0,	0,		Pour
7,	0,	7,	0,	0,		Empty
7,	0,	7,	3,	0,		Fill
7,	3,	7,	0,	0,		Pour
Path / States: 10/31 (327)

Input: 3.6
0,	0,	0,	0,	0,		None
0,	0,	0,	0,	8,		Fill
0,	0,	12,	0,	8,		Fill
12,	0,	0,	0,	8,		Pour
12,	0,	12,	0,	8,		Fill
9,	0,	12,	3,	8,		Pour
9,	0,	12,	0,	8,		Empty
14,	0,	7,	0,	8,		Pour
0,	0,	7,	0,	8,		Empty
7,	0,	0,	0,	8,		Pour
7,	0,	8,	0,	0,		Pour
7,	0,	8,	0,	8,		Fill
7,	0,	8,	3,	8,		Fill
7,	0,	11,	0,	8,		Pour
7,	0,	12,	0,	7,		Pour
7,	0,	0,	0,	7,		Empty
7,	0,	7,	0,	0,		Pour
7,	0,	7,	0,	8,		Fill
7,	0,	7,	3,	5,		Pour
7,	0,	7,	0,	5,		Empty
7,	0,	7,	3,	2,		Pour
7,	0,	7,	0,	2,		Empty
7,	2,	7,	0,	0,		Pour
7,	2,	7,	0,	8,		Fill
7,	0,	7,	2,	8,		Pour
7,	0,	7,	3,	7,		Pour
7,	0,	7,	0,	7,		Empty
Path / States: 26/1197 (8178)

DONE
